Unnamed: 0,Unnamed: 0.1,custid,region,townsize,gender,age,agecat,birthmonth,ed,edcat,jobcat,union,employ,empcat,retire,income,lninc,inccat,debtinc,creddebt,lncreddebt,othdebt,lnothdebt,default,jobsat,marital,spoused,spousedcat,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,homeown,hometype,address,addresscat,cars,carown,cartype,carvalue,carcatvalue,carbought,carbuy,commute,commutecat,commutetime,commutecar,commutemotorcycle,commutecarpool,commutebus,commuterail,commutepublic,commutebike,commutewalk,commutenonmotor,telecommute,reason,polview,polparty,polcontrib,vote,card,cardtype,cardbenefit,cardfee,cardtenure,cardtenurecat,card2,card2type,card2benefit,card2fee,card2tenure,card2tenurecat,cardspent,card2spent,active,bfast,tenure,churn,longmon,lnlongmon,longten,lnlongten,tollfree,tollmon,lntollmon,tollten,lntollten,equip,equipmon,lnequipmon,equipten,lnequipten,callcard,cardmon,lncardmon,cardten,lncardten,wireless,wiremon,lnwiremon,wireten,lnwireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,owntv,hourstv,ownvcr,owndvd,owncd,ownpda,ownpc,ownipod,owngame,ownfax,news,response_01,response_02,response_03
0,0,3964-QJWTRG-NPN,1,2.0,1,20,2,September,15,3,1,1,0,1,0,31,3.4339872044851463,2,11.1,1.2009089999999998,0.18307877003563325,2.240091,0.8065164900417755,1,1,0,-1,-1,3,0,0,0,0,0,0,0,0,0,2,0,1,2,1,0,14.3,1,0,0,8,4,22.0,0,1,1,0,0,0,0,1,0,0,9,6,1,0,1,3,1,1,0,2,2,5,3,1,0,3,2,81.66,67.8,0,3,5,1,6.5,1.871802176901592,34.4,3.5380565643793527,1,29.0,3.3672958299864737,161.05,5.081714875777208,1,29.5,3.3843902633457743,126.1,4.837075242970874,1,14.25,2.6567569067146595,60.0,4.0943445622221,0,0.0,,0.0,,1,1,1,0,0,1,1,1,0,1,13,1,1,0,0,0,1,1,0,0,0,1,0
1,1,0648-AIPJSP-UVM,5,5.0,0,22,2,May,17,4,2,0,0,1,0,15,2.7080502011022096,1,18.6,1.22202,0.20050522722758324,1.5679800000000002,0.4497881667448284,1,1,0,-1,-1,2,6,0,0,0,0,0,0,6,1,3,2,1,2,1,1,6.8000000000000025,1,0,0,1,1,29.0,1,0,0,1,0,0,1,0,1,1,9,4,1,0,0,2,4,1,0,4,2,4,1,3,0,4,2,42.6,34.94,1,1,39,0,8.9,2.186051276738094,330.6,5.8009091853869235,0,0.0,,0.0,,1,54.85,4.0046021867212405,1975.0,7.5883236773352225,1,16.0,2.772588722239781,610.0,6.413458957167357,1,45.65,3.8210036070409776,1683.55,7.428659938189792,1,1,1,4,1,0,1,0,1,1,18,1,1,1,1,1,1,1,1,1,0,0,0
2,2,5195-TLUDJE-HVO,3,4.0,1,67,6,June,14,2,2,0,16,5,0,35,3.5553480614894135,2,9.9,0.9286200000000001,-0.0740556658294137,2.5363800000000003,0.9307378676210412,0,4,1,13,2,3,3,2,1,0,0,0,0,0,1,1,30,5,3,1,1,18.8,1,0,1,4,3,24.0,1,0,1,1,1,0,0,0,0,0,2,5,1,0,0,2,1,4,0,35,5,4,1,3,0,25,5,184.22,175.75,0,3,65,0,28.4,3.3463891451671604,1858.35,7.527444276229857,0,0.0,,0.0,,0,0.0,,0.0,,1,23.0,3.1354942159291497,1410.0,7.251344983372213,0,0.0,,0.0,,1,0,0,0,0,0,0,0,0,1,21,1,1,1,0,0,0,0,0,1,0,0,0
3,3,4459-VLPQUH-3OL,4,3.0,0,23,2,May,16,3,2,0,0,1,0,20,2.9957322735539917,1,5.7,0.0228,-3.7809947430217417,1.1172000000000002,0.11082555508888482,1,2,1,18,4,5,0,0,0,0,0,0,0,0,1,3,3,2,3,1,1,8.700000000000001,1,0,1,1,1,38.0,1,0,0,0,0,0,0,0,0,0,9,3,0,0,0,2,1,4,0,5,2,3,2,4,0,5,2,340.99,18.42,1,1,36,0,6.0,1.791759469228055,199.45,5.295563578351415,0,0.0,,0.0,,0,0.0,,0.0,,1,21.0,3.0445224377234235,685.0,6.5294188382622265,0,0.0,,0.0,,1,0,0,2,0,0,0,0,1,1,26,1,1,1,0,1,1,1,0,1,1,0,0
4,4,8158-SMTQFB-CNO,2,2.0,0,26,3,July,16,3,2,0,1,1,0,23,3.1354942159291497,1,1.7000000000000002,0.21465900000000002,-1.5387045564693775,0.176341,-1.7353356584762298,0,1,1,13,2,4,0,0,0,0,0,0,0,0,0,2,3,2,1,0,1,10.6,1,0,1,6,3,32.0,0,0,0,0,0,1,0,1,0,0,9,4,0,0,0,4,2,1,0,8,3,1,3,2,0,9,3,255.1,252.73,1,3,21,0,3.05,1.1151415906193205,74.1,4.3054155323020415,1,16.5,2.8033603809065357,387.7,5.960231844676883,0,0.0,,0.0,,1,17.25,2.8478121434773684,360.0,5.886104031450156,1,19.05,2.947067101572709,410.8,6.018106478054402,0,1,0,3,1,1,1,1,0,1,27,1,1,1,0,1,0,1,0,0,0,1,0
5,5,9662-FUSYIM-1IV,4,4.0,0,64,5,August,17,4,3,0,22,5,0,107,4.672828834461906,4,5.6000000000000005,1.060584,0.05881969980661043,4.9314160000000005,1.5956261679098511,0,2,0,-1,-1,1,11,1,1,0,0,2,0,7,1,1,31,5,0,-1,-1,-1.0,-1,-1,0,8,4,23.0,0,0,0,0,1,0,0,1,0,0,9,4,0,0,0,2,4,1,1,18,5,3,3,2,1,9,3,228.27,0.0,0,3,28,0,8.1,2.0918640616783932,264.9,5.579352396278024,1,26.75,3.2865344733420154,726.6,6.588376119787101,1,35.5,3.5695326964813705,970.95,6.878274973659629,1,28.25,3.3410934575924505,765.0,6.639875833826536,0,0.0,,0.0,,0,0,1,0,1,1,1,1,0,1,21,1,1,1,1,0,0,0,0,0,0,1,0
6,6,7432-QKQFJJ-K72,2,5.0,1,52,5,July,14,2,1,0,10,3,0,77,4.343805421853683,4,1.9,0.5018090000000001,-0.6895357097782099,0.961191,-0.03958213845953938,0,2,0,-1,-1,1,2,0,2,0,0,0,0,0,0,3,21,4,2,1,0,25.6,2,1,0,4,3,32.0,1,0,0,1,0,0,1,1,0,0,9,4,0,0,0,5,3,1,1,3,2,2,3,4,0,2,2,822.32,130.14,0,2,15,0,3.8,1.3350010667323402,44.8,3.8022081394209395,0,0.0,,0.0,,0,0.0,,0.0,,0,0.0,,0.0,,0,0.0,,0.0,,0,0,0,1,0,0,1,0,0,1,19,1,1,1,0,1,1,0,0,0,0,0,0
7,7,8959-RZWRHU-ST8,3,4.0,1,44,4,October,16,3,1,0,11,4,0,97,4.574710978503383,4,14.4,5.950367999999999,1.7834530663844796,8.017631999999999,2.0816431164346763,0,5,1,15,3,2,10,0,2,0,0,0,0,8,1,3,20,4,1,1,0,55.5,3,0,1,5,3,31.0,0,0,0,0,1,0,0,0,0,0,2,6,0,0,1,1,1,4,0,25,5,3,1,4,0,20,5,592.7,712.1,0,3,46,0,14.85,2.6979998652487085,612.7,6.417875419731609,1,24.0,3.1780538303479458,1110.4,7.01247558975254,0,0.0,,0.0,,1,14.5,2.6741486494265287,630.0,6.4457198193855785,0,0.0,,0.0,,1,0,0,0,1,1,1,1,0,1,13,1,1,1,0,0,0,0,0,1,0,0,0
8,8,9124-DZALHM-S6I,2,3.0,1,66,6,October,12,2,1,0,15,4,1,16,2.772588722239781,1,2.6,0.102336,-2.279493761770648,0.313664,-1.1594329296950547,0,2,0,-1,-1,1,1,1,0,0,0,0,0,0,1,1,21,4,1,1,1,8.6,1,0,0,4,3,25.0,1,1,0,1,1,0,0,0,0,0,9,3,1,1,1,3,4,2,0,26,5,2,4,3,0,17,5,326.5900000000001,141.24,1,3,53,0,21.05,3.0469005601283903,1074.35,6.979471106523737,0,0.0,,0.0,,0,0.0,,0.0,,1,15.5,2.7408400239252013,830.0,6.721425700790642,0,0.0,,0.0,,1,0,0,0,0,0,0,0,0,1,25,1,1,1,0,0,0,0,0,0,1,0,0
9,9,3512-MUWBGY-52X,2,2.0,0,47,4,July,11,1,6,0,19,5,0,84,4.430816798843313,4,4.1000000000000005,1.7702159999999998,0.5711015730385123,1.6737840000000002,0.5150869314838412,0,4,0,-1,-1,2,1,1,0,0,0,0,0,0,1,1,19,4,4,1,0,41.0,3,1,0,1,1,29.0,1,1,0,0,0,0,0,0,0,0,9,3,1,1,1,5,4,1,0,2,2,2,2,1,0,2,2,199.64,111.17,1,3,3,1,3.65,1.2947271675944,20.05,2.998229153752578,0,0.0,,0.0,,0,0.0,,0.0,,0,0.0,,0.0,,0,0.0,,0.0,,0,0,0,0,0,0,0,0,0,1,21,1,1,1,0,0,0,0,0,0,0,0,0
